Threshold,Precision,Recall,F1-Score,Trades
0.5,0.7512653651482285,0.7600585223116313,0.7556363636363637,1383
0.55,0.7675304878048781,0.7366495976591075,0.75177304964539,1312
0.6,0.779889152810768,0.7205559619604974,0.7490494296577946,1263
0.65,0.7927031509121062,0.6993416239941478,0.743101438010105,1206
0.7,0.7972149695387293,0.6700804681784931,0.7281399046104928,1149
0.75,0.814404432132964,0.6452084857351865,0.72,1083
0.8,0.8372093023255814,0.6057059253840527,0.7028862478777589,989
0.85,0.8615916955017301,0.5464520848573519,0.6687555953446732,867
0.9,0.8851063829787233,0.4564740307242136,0.6023166023166023,705
